language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.74  T=6.14 s (159.1 files/s, 28675.0 lines/s)"
JavaScript,./src/renderers/shared/stack/reconciler/ReactMultiChild.js,30,156,358
JavaScript,./scripts/rollup/bundles.js,23,22,348
CoffeeScript,./src/isomorphic/modern/class/__tests__/ReactCoffeeScriptClass-test.coffee,77,2,347
JavaScript,./src/renderers/native/__tests__/ReactNativeEvents-test.js,55,18,346
Markdown,./docs/docs/state-and-lifecycle.md,126,0,346
JavaScript,./src/renderers/dom/test/ReactTestUtilsEntry.js,48,127,344
JavaScript,./src/renderers/dom/shared/__tests__/ReactMount-test.js,63,25,340
JavaScript,./src/renderers/__tests__/ReactStatelessComponent-test.js,64,21,338
Markdown,./docs/docs/integrating-with-other-libraries.md,111,0,328
JavaScript,./src/renderers/dom/test/__tests__/ReactTestUtils-test.js,55,11,327
JavaScript,./src/renderers/shared/fiber/ReactDebugFiberPerf.js,43,46,324
JavaScript,./src/isomorphic/hooks/ReactComponentTreeHook.js,40,33,323
Markdown,./docs/docs/higher-order-components.md,106,0,317
JavaScript,./src/isomorphic/modern/element/__tests__/ReactJSXElementValidator-test.js,59,22,317
JavaScript,./src/renderers/shared/fiber/ReactFiberCompleteWork.js,26,63,316
JavaScript,./src/renderers/__tests__/ReactMultiChild-test.js,66,12,315
JavaScript,./src/isomorphic/classic/element/__tests__/ReactElementClone-test.js,48,10,310
Markdown,./docs/docs/jsx-in-depth.md,119,0,307
Markdown,./scripts/release-manager/Readme.md,174,0,306
Markdown,./docs/_posts/2015-12-18-react-components-elements-and-instances.md,80,0,303
Sass,./docs/_css/bourbon/addons/_button.scss,65,12,297
JavaScript,./src/renderers/shared/fiber/ReactFiber.js,65,97,295
JavaScript,./src/renderers/native/ReactNativeFiberRenderer.js,57,33,292
JavaScript,./src/isomorphic/classic/__tests__/ReactContextValidator-test.js,55,22,291
JavaScript,./src/renderers/dom/shared/wrappers/__tests__/ReactDOMTextarea-test.js,87,12,287
JavaScript,./src/renderers/dom/shared/eventPlugins/BeforeInputEventPlugin.js,41,154,281
Markdown,./docs/docs/optimizing-performance.md,114,0,278
JavaScript,./src/renderers/shared/shared/event/eventPlugins/ResponderEventPlugin.js,37,282,278
Markdown,./docs/docs/installation.md,64,0,277
JavaScript,./src/renderers/shared/fiber/__tests__/ReactIncrementalTriangle-test.js,28,17,274
CSS,./docs/css/codemirror.css,43,26,271
JavaScript,./src/renderers/shared/fiber/__tests__/ReactIncrementalScheduling-test.js,45,38,271
JavaScript,./src/renderers/art/__tests__/ReactART-test.js,50,12,267
JavaScript,./src/renderers/shared/fiber/__tests__/ReactIncrementalUpdates-test.js,44,34,266
JavaScript,./src/renderers/shared/fiber/ReactFiberReconciler.js,41,17,264
Markdown,./docs/docs/addons-animation.md,87,0,262
JavaScript,./src/renderers/dom/shared/__tests__/renderSubtreeIntoContainer-test.js,51,13,260
Markdown,./docs/contributing/codebase-overview.md,144,0,260
JavaScript,./src/isomorphic/classic/element/ReactElement.js,36,85,260
JavaScript,./scripts/rollup/modules.js,29,32,258
JavaScript,./src/renderers/shared/shared/event/SyntheticEvent.js,34,70,256
JavaScript,./src/isomorphic/children/ReactChildren.js,33,103,255
Markdown,./docs/_posts/2014-09-24-testing-flux-applications.md,70,0,255
Markdown,./docs/docs/reference-react-component.md,137,0,253
JavaScript,./src/renderers/dom/shared/__tests__/ReactDOM-test.js,33,55,252
JavaScript,./src/renderers/shared/fiber/ReactFiberHydrationContext.js,25,46,251
Markdown,./docs/docs/lifting-state-up.md,75,0,250
JavaScript,./fixtures/fiber-debugger/src/App.js,14,2,249
JavaScript,./src/renderers/shared/stack/reconciler/__tests__/Transaction-test.js,24,33,249
Markdown,./docs/docs/reference-events.md,102,0,248
JavaScript,./src/renderers/dom/__tests__/ReactDOMProduction-test.js,33,14,244
JavaScript,./src/renderers/dom/fiber/__tests__/ReactDOMFiberAsync-test.js,41,9,244
JavaScript,./src/renderers/__tests__/ReactEmptyComponent-test.js,53,17,243
Markdown,./docs/_posts/2015-02-18-react-conf-roundup-2015.md,29,0,240
Markdown,./docs/docs/lists-and-keys.md,59,0,240
JSON,./scripts/error-codes/codes.json,0,0,237
JavaScript,./src/renderers/shared/fiber/ReactFiberContext.js,36,43,237
JavaScript,./scripts/release-manager/commands/stable-prs.js,19,31,236
JavaScript,./src/renderers/dom/fiber/wrappers/ReactDOMFiberInput.js,28,73,236
JavaScript,./src/renderers/dom/stack/client/wrappers/ReactDOMInput.js,29,75,233
JavaScript,./src/isomorphic/classic/element/ReactElementValidator.js,34,62,230
JavaScript,./src/renderers/shared/fiber/ReactFiberTreeReflection.js,20,47,230
JavaScript,./src/renderers/dom/shared/hooks/ReactDOMUnknownPropertyHook.js,28,21,229
JavaScript,./src/renderers/dom/shared/eventPlugins/SimpleEventPlugin.js,9,38,228
JavaScript,./scripts/bench/benchmarks/hacker-news/benchmark.js,10,0,219
JavaScript,./src/renderers/dom/shared/__tests__/CSSPropertyOperations-test.js,35,9,215
HTML,./fixtures/fiber-triangle/index.html,9,0,212
CSS,./docs/css/syntax.css,134,65,210
JavaScript,./src/renderers/dom/shared/DOMPropertyOperations.js,21,56,209
Markdown,./docs/docs/forms.md,53,0,208
Markdown,./docs/docs/components-and-props.md,60,0,206
JavaScript,./src/renderers/testing/ReactShallowRendererEntry.js,49,16,203
JavaScript,./docs/_js/live_editor.js,29,4,201
JavaScript,./src/renderers/dom/shared/__tests__/ReactDOMSVG-test.js,11,12,201
Markdown,./docs/docs/reference-test-renderer.md,83,0,200
JavaScript,./src/renderers/__tests__/ReactTreeTraversal-test.js,23,20,198
JavaScript,./src/renderers/shared/utils/__tests__/ReactErrorUtils-test.js,25,18,196
JavaScript,./src/renderers/native/__tests__/ReactNativeAttributePayload-test.js,28,12,194
JavaScript,./src/renderers/dom/stack/client/DOMChildrenOperations.js,18,36,194
JavaScript,./src/renderers/dom/shared/eventPlugins/ChangeEventPlugin.js,32,85,193
JSON,./scripts/rollup/results.json,0,0,192
JavaScript,./src/renderers/__tests__/ReactIdentity-test.js,41,11,192
Markdown,./docs/docs/conditional-rendering.md,51,0,191
JavaScript,./src/renderers/shared/fiber/__tests__/ReactCoroutine-test.js,37,16,190
JavaScript,./src/renderers/shared/shared/event/__tests__/EventPluginRegistry-test.js,36,10,188
Sass,./docs/_css/bourbon/css3/_flex-box.scss,69,66,186
CSS,./fixtures/dom/src/style.css,35,0,185
JavaScript,./src/renderers/shared/fiber/__tests__/ReactIncrementalReflection-test.js,67,31,185
Markdown,./docs/docs/addons-test-utils.md,79,0,184
JavaScript,./src/renderers/dom/shared/eventPlugins/__tests__/BeforeInputEventPlugin-test.js,31,39,183
Markdown,./docs/docs/react-without-es6.md,45,0,180
JavaScript,./src/renderers/shared/shared/event/eventPlugins/ResponderTouchHistoryStore.js,20,24,179
JavaScript,./src/renderers/__tests__/ReactMultiChildText-test.js,33,20,178
C++,./scripts/perf-counters/src/jsc-perf.cpp,20,7,175
Markdown,./docs/_posts/2016-09-28-our-first-50000-stars.md,55,0,174
Markdown,./docs/docs/accessibility.md,104,0,174
JavaScript,./src/renderers/dom/shared/__tests__/ReactDOMEventListener-test.js,25,16,173
Markdown,./docs/docs/refs-and-the-dom.md,52,0,173
Sass,./docs/_css/_solarized.scss,0,0,171
JavaScript,./src/renderers/shared/stack/reconciler/ReactUpdateQueue.js,27,63,165
Markdown,./docs/docs/context.md,54,0,165
JavaScript,./src/isomorphic/modern/element/__tests__/ReactJSXElement-test.js,30,8,164
JavaScript,./src/renderers/dom/shared/eventPlugins/__tests__/ChangeEventPlugin-test.js,49,9,164
Markdown,./docs/_posts/2015-03-19-building-the-facebook-news-feed-with-relay.md,57,0,163
JavaScript,./fixtures/dom/src/components/fixtures/number-inputs/index.js,32,0,162
JavaScript,./src/renderers/shared/utils/ReactErrorUtils.js,25,89,162
JavaScript,./src/renderers/dom/shared/__tests__/ReactDOMTextComponent-test.js,30,19,161
JavaScript,./src/renderers/dom/fiber/wrappers/ReactDOMFiberSelect.js,21,34,160
JavaScript,./scripts/facts-tracker/index.js,23,7,160
Markdown,./docs/_posts/2016-04-07-react-v15.md,100,0,159
JavaScript,./src/renderers/shared/shared/event/EventPluginUtils.js,23,53,158
JavaScript,./fixtures/dom/src/components/fixtures/error-handling/index.js,6,2,156
JavaScript,./src/renderers/dom/shared/ReactDOMComponentTree.js,28,62,155
JavaScript,./src/renderers/dom/shared/syntheticEvents/__tests__/SyntheticEvent-test.js,25,15,154
Markdown,./docs/_posts/2017-04-07-react-v15.5.0.md,73,0,154
JavaScript,./src/renderers/dom/shared/__tests__/validateDOMNesting-test.js,11,14,151
JavaScript,./src/renderers/shared/shared/event/EventPluginRegistry.js,22,80,151
Markdown,./docs/_posts/2015-02-24-streamlining-react-elements.md,80,0,150
Markdown,./docs/_posts/2014-10-14-introducing-react-elements.md,72,0,150
JavaScript,./src/renderers/shared/stack/reconciler/ReactChildReconciler.js,12,53,147
JavaScript,./src/renderers/shared/shared/event/EventPluginHub.js,17,85,146
JavaScript,./scripts/bench/stats.js,14,2,145
JavaScript,./src/renderers/shared/stack/reconciler/ReactReconciler.js,18,60,145
JavaScript,./src/renderers/dom/shared/DOMProperty.js,25,98,143
JavaScript,./src/renderers/dom/shared/__tests__/DOMPropertyOperations-test.js,18,12,143
Markdown,./docs/_posts/2015-10-07-react-v0.14.md,62,0,141
