module,revisions,code
src/renderers/shared/fiber/ReactFiberRoot.js,12,24
scripts/facts-tracker/index.js,12,160
src/isomorphic/modern/class/__tests__/ReactES6Class-test.js,12,409
docs/_config.yml,12,72
src/renderers/native/findNodeHandle.js,12,57
src/renderers/dom/shared/wrappers/__tests__/ReactDOMSelect-test.js,12,549
src/renderers/shared/ReactPerf.js,11,382
src/renderers/dom/shared/utils/ReactControlledValuePropTypes.js,11,80
src/renderers/__tests__/ReactCompositeComponentState-test.js,11,393
src/renderers/dom/shared/__tests__/ReactDOM-test.js,11,252
src/renderers/shared/fiber/ReactFiberDevToolsHook.js,11,66
src/isomorphic/modern/element/__tests__/ReactJSXElement-test.js,11,164
src/renderers/shared/shared/event/eventPlugins/__tests__/ResponderEventPlugin-test.js,11,1093
src/renderers/dom/fiber/__tests__/ReactDOMFiberAsync-test.js,11,244
src/renderers/native/createReactNativeComponentClass.js,11,10
src/renderers/shared/fiber/__tests__/ReactTopLevelFragment-test.js,11,109
src/renderers/__tests__/ReactComponent-test.js,11,472
docs/docs/higher-order-components.md,11,317
src/renderers/shared/fiber/ReactTypeOfSideEffect.js,11,14
src/renderers/art/__tests__/ReactART-test.js,11,267
src/renderers/dom/shared/ReactDOMFeatureFlags.js,11,6
src/renderers/dom/stack/client/wrappers/ReactDOMTextarea.js,10,112
fixtures/dom/src/components/fixtures/index.js,10,41
src/renderers/dom/shared/__tests__/ReactRenderDocument-test.js,10,454
docs/docs/reference-react.md,10,125
src/renderers/dom/shared/ReactDOMComponentTree.js,10,155
src/renderers/shared/fiber/ReactDebugCurrentFiber.js,10,51
src/renderers/shared/utils/ReactFeatureFlags.js,10,5
src/renderers/__tests__/ReactComponentTreeHook-test.js,10,1961
src/renderers/shared/shared/event/EventPluginUtils.js,10,158
src/renderers/native/ReactNativeComponentTree.js,10,54
src/renderers/shared/fiber/ReactFiberStack.js,10,61
src/renderers/shared/stack/reconciler/ReactInstanceType.js,10,26
scripts/release-manager/commands/version.js,10,138
docs/contributing/design-principles.md,10,86
src/isomorphic/modern/class/__tests__/ReactTypeScriptClass-test.ts,10,446
src/renderers/__tests__/ReactComponentLifeCycle-test.js,10,487
src/renderers/native/ReactNativeFiberEntry.js,10,84
src/renderers/shared/fiber/isomorphic/ReactCoroutine.js,10,61
src/renderers/__tests__/ReactStatelessComponent-test.js,10,338
src/isomorphic/modern/class/__tests__/ReactCoffeeScriptClass-test.coffee,10,347
src/renderers/shared/fiber/__tests__/ReactTopLevelText-test.js,10,22
src/renderers/dom/shared/__tests__/inputValueTracking-test.js,10,119
src/renderers/dom/shared/__tests__/ReactDOMTextComponent-test.js,9,161
src/__mocks__/UIManager.js,9,135
src/fb/ReactDOMFiberFBEntry.js,9,18
src/renderers/dom/shared/DOMProperty.js,9,143
src/test/ReactComponentTreeTestUtils.js,9,84
src/renderers/shared/stack/reconciler/ReactOwner.js,9,61
docs/docs/addons-animation.md,9,262
src/renderers/dom/shared/eventPlugins/__tests__/BeforeInputEventPlugin-test.js,9,183
src/renderers/shared/shared/event/EventPropagators.js,9,93
src/renderers/dom/shared/hooks/ReactDOMNullInputValuePropHook.js,9,48
src/renderers/shared/fiber/ReactFiberHydrationContext.js,9,251
src/renderers/shared/shared/event/ReactControlledComponent.js,9,70
src/renderers/shared/shared/event/EventPluginRegistry.js,9,151
src/renderers/dom/shared/validateDOMNesting.js,9,474
src/renderers/native/ReactNativeBridgeEventPlugin.js,9,75
scripts/release-manager/commands/stable-prs.js,9,236
src/renderers/dom/shared/__tests__/ReactDOMInvalidARIAHook-test.js,9,69
fixtures/dom/src/components/Header.js,9,81
docs/docs/addons-test-utils.md,9,184
src/renderers/dom/shared/findDOMNode.js,9,71
fixtures/dom/package.json,9,24
src/renderers/dom/shared/ReactDOMInjection.js,9,6
src/renderers/shared/shared/event/SyntheticEvent.js,8,256
src/renderers/testing/ReactTestRendererFiberEntry.js,8,547
src/renderers/native/ReactNativeAttributePayload.js,8,376
src/renderers/shared/__tests__/ReactDebugTool-test.js,8,58
docs/docs/context.md,8,165
src/renderers/dom/shared/eventPlugins/SelectEventPlugin.js,8,136
docs/contributing/implementation-notes.md,8,677
scripts/release-manager/package.json,8,24
src/renderers/__tests__/ReactPerf-test.js,8,633
src/isomorphic/modern/class/ReactBaseClasses.js,8,87
src/renderers/noop/ReactNoopEntry.js,8,367
src/renderers/dom/shared/inputValueTracking.js,8,106
src/renderers/dom/test/__tests__/ReactTestUtils-test.js,8,327
.eslintrc.js,8,48
src/isomorphic/children/ReactChildren.js,8,255
src/renderers/dom/shared/ReactInputSelection.js,8,82
src/renderers/dom/shared/eventPlugins/SimpleEventPlugin.js,8,228
src/isomorphic/modern/class/ReactNoopUpdateQueue.js,8,44
