entity,n-revs
src/isomorphic/classic/types/__tests__/ReactPropTypesProduction-test.js,14
src/renderers/native/__tests__/ReactNativeMount-test.js,14
src/renderers/shared/fiber/__tests__/ReactIncrementalPerf-test.js,14
docs/_data/nav_docs.yml,14
src/renderers/dom/stack/client/wrappers/ReactDOMInput.js,14
src/renderers/dom/shared/__tests__/ReactBrowserEventEmitter-test.js,14
src/renderers/native/NativeMethodsMixin.js,14
src/renderers/testing/ReactTestMount.js,14
docs/docs/jsx-in-depth.md,13
docs/docs/lifting-state-up.md,13
src/renderers/dom/client/wrappers/ReactDOMInput.js,13
scripts/release-manager/Readme.md,13
scripts/prettier/index.js,13
scripts/release-manager/cli.js,13
grunt/config/browserify.js,13
scripts/fiber/record-tests,13
flow/react-native-host-hooks.js,13
src/renderers/shared/__tests__/ReactPerf-test.js,13
src/isomorphic/classic/element/ReactDebugCurrentFrame.js,13
docs/_layouts/default.html,13
src/renderers/shared/stack/reconciler/__tests__/ReactCompositeComponent-test.js,13
src/renderers/dom/shared/wrappers/__tests__/ReactDOMSelect-test.js,12
src/renderers/dom/stack/client/wrappers/ReactDOMSelect.js,12
src/renderers/native/findNodeHandle.js,12
scripts/facts-tracker/index.js,12
src/isomorphic/modern/class/__tests__/ReactES6Class-test.js,12
src/renderers/shared/fiber/ReactFiberRoot.js,12
src/shared/utils/traverseAllChildren.js,12
docs/_config.yml,12
src/renderers/dom/shared/ReactDOMDebugTool.js,12
src/renderers/dom/fiber/wrappers/ReactDOMFiberOption.js,12
docs/docs/thinking-in-react.md,12
docs/docs/higher-order-components.md,11
src/renderers/shared/ReactPerf.js,11
src/renderers/shared/fiber/ReactFiberDevToolsHook.js,11
src/renderers/__tests__/ReactCompositeComponentState-test.js,11
src/renderers/shared/shared/__tests__/ReactStatelessComponent-test.js,11
src/renderers/native/createReactNativeComponentClass.js,11
src/renderers/art/__tests__/ReactART-test.js,11
src/addons/transitions/ReactTransitionGroup.js,11
src/renderers/dom/fiber/__tests__/ReactDOMFiberAsync-test.js,11
src/renderers/dom/shared/__tests__/ReactDOM-test.js,11
src/isomorphic/modern/element/__tests__/ReactJSXElement-test.js,11
src/renderers/__tests__/ReactComponent-test.js,11
docs/js/react.js,11
src/renderers/dom/shared/ReactDOMFeatureFlags.js,11
src/renderers/dom/shared/utils/ReactControlledValuePropTypes.js,11
src/renderers/shared/stack/reconciler/__tests__/ReactErrorBoundaries-test.js,11
src/renderers/dom/server/ReactServerRendering.js,11
src/renderers/shared/stack/reconciler/__tests__/ReactUpdates-test.js,11
Gruntfile.js,11
src/renderers/testing/ReactTestRendererFiber.js,11
src/renderers/shared/shared/event/eventPlugins/__tests__/ResponderEventPlugin-test.js,11
src/renderers/shared/fiber/__tests__/ReactTopLevelFragment-test.js,11
src/renderers/shared/fiber/ReactTypeOfSideEffect.js,11
src/renderers/dom/server/__tests__/ReactServerRendering-test.js,11
src/renderers/shared/reconciler/ReactCompositeComponent.js,11
src/isomorphic/__tests__/ReactDebugTool-test.js,11
src/renderers/dom/shared/ReactEventListener.js,11
src/addons/transitions/__tests__/ReactTransitionGroup-test.js,11
.eslintignore,11
src/renderers/shared/fiber/ReactDebugCurrentFiber.js,10
packages/react-addons/package.json,10
src/isomorphic/classic/class/__tests__/ReactClassMixin-test.js,10
src/renderers/shared/shared/__tests__/ReactCompositeComponentState-test.js,10
src/renderers/native/ReactNativeFiberEntry.js,10
src/renderers/__tests__/ReactStatelessComponent-test.js,10
docs/docs/09.2-package-management.md,10
docs/docs/reference-react.md,10
src/renderers/dom/stack/client/wrappers/ReactDOMTextarea.js,10
src/renderers/native/ReactNativeComponentTree.js,10
src/isomorphic/modern/class/__tests__/ReactTypeScriptClass-test.ts,10
src/addons/__tests__/renderSubtreeIntoContainer-test.js,10
src/renderers/dom/shared/ReactDOMComponentTree.js,10
src/isomorphic/modern/class/__tests__/ReactCoffeeScriptClass-test.coffee,10
docs/docs/02-displaying-data.ru-RU.md,10
fixtures/dom/src/components/fixtures/index.js,10
src/renderers/__tests__/ReactComponentTreeHook-test.js,10
src/renderers/shared/fiber/isomorphic/ReactCoroutine.js,10
src/renderers/dom/shared/__tests__/inputValueTracking-test.js,10
src/renderers/shared/stack/reconciler/ReactInstanceType.js,10
src/renderers/shared/utils/ReactFeatureFlags.js,10
src/renderers/shared/shared/event/EventPluginUtils.js,10
docs/docs/05-reusable-components.md,10
src/renderers/__tests__/ReactComponentLifeCycle-test.js,10
src/renderers/shared/fiber/ReactFiberStack.js,10
src/renderers/shared/fiber/__tests__/ReactTopLevelText-test.js,10
scripts/release-manager/commands/version.js,10
src/renderers/dom/shared/__tests__/ReactRenderDocument-test.js,10
docs/contributing/design-principles.md,10
src/addons/transitions/__tests__/ReactCSSTransitionGroup-test.js,10
src/renderers/shared/hooks/__tests__/ReactComponentTreeHook-test.js,9
fixtures/dom/src/components/Header.js,9
src/renderers/dom/shared/DOMProperty.js,9
src/renderers/shared/stack/reconciler/ReactOwner.js,9
src/renderers/shared/shared/event/ReactControlledComponent.js,9
src/renderers/dom/shared/hooks/ReactDOMNullInputValuePropHook.js,9
src/renderers/dom/shared/__tests__/ReactDOMTextComponent-test.js,9
src/test/ReactComponentTreeTestUtils.js,9
src/renderers/dom/shared/eventPlugins/__tests__/BeforeInputEventPlugin-test.js,9
docs/docs/tutorial.zh-CN.md,9
src/isomorphic/classic/class/__tests__/ReactBind-test.js,9
src/renderers/native/ReactNative/ReactNativeEventEmitter.js,9
src/isomorphic/children/traverseAllChildren.js,9
